;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
;31335581;16209016;9383544;;;29810582;15526611;7629349;;;30450169;15562888;8525975;;;;;;
;30376685;15498049;8781668;;;30292962;15257268;8046421;;;30207944;15509545;9474313;;;;;;
;31153432;17643203;9023928;;;29560412;14916423;7484603;;;29889933;15516014;8979746;;;;;;
;31436076;17376051;8326410;;;29977667;15758416;7914787;;;30688578;15451629;9200505;;;;;;
;30998426;16817154;8320125;;;29336256;15447078;8327870;;;30485371;15377316;9147345;;;;;;
;29896628;16708834;8833293;;;29822420;15164908;7734179;;;30318543;15280221;9748222;;;;;;
;30892012;16452489;9309714;;;30144311;14847546;8244147;;;30088051;15511736;9234366;;;;;;
;32404638;16760987;8388796;;;29518442;15634612;7693482;;;30022157;15583746;9346554;;;;;;
;30841504;18380853;7682275;;;29821659;15283268;8121500;;;29921877;15572851;8730457;;;;;;
;31648308;16895383;8047755;;;30050711;14975238;7515783;;;30787192;15498520;9919839;;;;;;
