;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
;35980404;17867559;9695569;;;30401704;16424558;7664283;;;40613864;16855962;9000238
;34412681;18804943;9549714;;;30548393;15554005;8292253;;;35026914;18038615;8589813
;35307727;18656152;9250483;;;30482666;15460209;7531198;;;34471557;18139675;8926343
;35309417;18474194;9111284;;;29321493;15826752;8000158;;;35757294;18422579;9438189
;35583958;17900229;8970682;;;29819389;15551023;7871747;;;38844566;18959025;8777064
;36143292;18565162;8990904;;;31752745;15758220;8755137;;;32726052;17723043;9460417
;35311601;18510475;8992676;;;32058937;15796759;8299986;;;41589211;18190862;8986390
;35771262;18447845;9047938;;;30338338;16474422;7830717;;;38992314;19507349;7844517
;36524438;18234770;8871790;;;30237038;15555262;8591041;;;33267960;17877794;9321830
;35918927;18060878;9972805;;;30113674;16320637;7991682;;;32553504;18938548;8837573
;36817139;17862301;9067909;;;29323419;15776496;7489062;;;38252393;18432247;8631183
;36425289;18942808;9120676;;;31697581;17188781;8219967;;;33453996;16433182;9473498
;35613130;19269828;9004026;;;30171081;15291165;7750779;;;35886413;18845204;8876760
;36235264;17358154;9143252;;;30254321;16435357;8524562;;;34334632;17435323;8846743
Promedio;35904147,97;18336133,42;9399526,032;;Promedio;30565808,06;15986450,52;8046779,613;;Promedio;36582511;17930562,94;8909109,516
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MM_clasico_Estud1;;;;;MM_clasico_Estud2;;;;;MM_clasico_Estud3;;;
;Hilos;;;;;Hilos;;;;;Hilos;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H
2200;48882618;24111810;12125134;;2200;40134903;21674846;11246226;;2200;48377071;24723266;11881600
;49354878;24101647;12256152;;;39020545;20724909;10121908;;;42682831;24281039;12143674
;48422493;23828698;12453168;;;39021815;21549266;10116792;;;46118178;22523438;11617689
;49010413;24743191;12539768;;;41003624;20651295;10409982;;;53088444;22394350;11759588
;48240578;24383202;12834322;;;40347650;20893691;10252166;;;52467953;25814824;11589525
;48164773;24429656;13286279;;;42275458;20577740;10304295;;;45183377;24482575;11970884
;49063907;24365141;12820989;;;38086914;20259806;10875719;;;53128919;24713088;11441513
;48435638;24624219;13217664;;;40365538;19763604;11239046;;;50158136;24710589;10941502
;49345684;24736170;12423193;;;40075722;20462530;10061222;;;47799093;24706991;11748351
;49007315;24712705;12802154;;;39229021;21140051;9948004;;;51791040;25456751;11444501
;48615876;24856978;13302527;;;40895924;19978612;10828841;;;45954933;22711174;11109050
;48754433;24781686;12542256;;;40907092;20074758;10992229;;;43958225;24304317;11566112
;49193619;25028711;12909490;;;42058681;20696647;9897491;;;50027327;24238293;11446249
;48166941;24074231;12832008;;;38434867;21178823;10796892;;;47265275;23582068;11719264
;48573197;24049226;12945892;;;39328295;19875426;11048516;;;47379290;23027253;11890648
;49063990;24942419;13199366;;;38444699;21159712;10490138;;;47833679;24338205;12303965
;48378983;25441922;12287424;;;42686743;21015246;10395393;;;50719773;24432655;11310910
;48356204;24763816;12374000;;;40677546;20569328;10116553;;;53487978;23223767;11665938
;48530341;24767157;12352952;;;41216715;20558493;10203982;;;53547817;22521592;11385813
;48896516;25434275;12468325;;;39499682;19810473;10459909;;;50669228;21658447;11294775
;49381541;24901846;12632467;;;39555004;20570049;10581062;;;44021023;25575436;11337132
;49091651;24886016;12981371;;;39122063;20700540;10488514;;;48585771;22623699;10804870
;47818602;24643899;12131775;;;38542448;20323737;10864781;;;48834575;23867514;12008624
;48942744;24770076;12290385;;;39863636;19975195;10855777;;;49235815;24616852;11290417
;47702573;24854773;12508925;;;40348471;19666249;10986477;;;43869785;22415690;11446289
;48665644;25017413;12711671;;;38895850;19618656;9810748;;;52684269;23514762;11504010
;48282834;24131925;12767276;;;41450154;20342015;10866455;;;50629188;23135367;11309310
;48508757;24329889;13024441;;;39799804;20157841;10966366;;;49973078;24214317;11711837
;48468018;24496513;12353063;;;40044432;19913456;9891471;;;41866406;24022297;11669374
;49208083;25151244;12655027;;;39583362;20818754;10682661;;;48851729;23458323;11273097
;48212353;24312345;12532356;;;42357216;20354732;10342521;;;42133632;24346532;11452346
Promedio;48669070,87;24634606,42;12663284,52;;Promedio;40105608,84;20485692,9;10520714,1;;Promedio;48462059,29;23859208,74;11549640,55
;;;;;;;;;;;;;
;;;;;;;;;;;;;
